"Meses","Desviacion","Perimetro_cefalico","sexo"
6,"+1 SD","43.5","niña"
7,"+1 SD","44.1","niña"
8,"+1 SD","44.7","niña"
9,"+1 SD","45.2","niña"
10,"+1 SD","45.6","niña"
11,"+1 SD","45.9","niña"
12,"+1 SD","46.3","niña"
13,"+1 SD","46.5","niña"
14,"+1 SD","46.8","niña"
15,"+1 SD","47.0","niña"
16,"+1 SD","47.2","niña"
17,"+1 SD","47.4","niña"
18,"+1 SD","47.6","niña"
19,"+1 SD","47.8","niña"
20,"+1 SD","48.0","niña"
21,"+1 SD","48.1","niña"
22,"+1 SD","48.3","niña"
23,"+1 SD","48.4","niña"
24,"+1 SD","48.6","niña"
25,"+1 SD","48.7","niña"
26,"+1 SD","48.9","niña"
27,"+1 SD","49.0","niña"
28,"+1 SD","49.1","niña"
29,"+1 SD","49.2","niña"
30,"+1 SD","49.3","niña"
31,"+1 SD","49.4","niña"
32,"+1 SD","49.6","niña"
33,"+1 SD","49.7","niña"
34,"+1 SD","49.7","niña"
35,"+1 SD","49.8","niña"
36,"+1 SD","49.9","niña"
37,"+1 SD","50.0","niña"
38,"+1 SD","50.1","niña"
39,"+1 SD","50.2","niña"
40,"+1 SD","50.2","niña"
41,"+1 SD","50.3","niña"
42,"+1 SD","50.4","niña"
43,"+1 SD","50.4","niña"
44,"+1 SD","50.5","niña"
45,"+1 SD","50.6","niña"
46,"+1 SD","50.6","niña"
47,"+1 SD","50.7","niña"
48,"+1 SD","50.8","niña"
49,"+1 SD","50.8","niña"
50,"+1 SD","50.9","niña"
51,"+1 SD","50.9","niña"
52,"+1 SD","51.0","niña"
53,"+1 SD","51.0","niña"
54,"+1 SD","51.1","niña"
55,"+1 SD","51.1","niña"
56,"+1 SD","51.2","niña"
57,"+1 SD","51.2","niña"
58,"+1 SD","51.3","niña"
59,"+1 SD","51.3","niña"
60,"+1 SD","51.3","niña"
0,"+2 SD","36.2","niña"
1,"+2 SD","38.9","niña"
2,"+2 SD","40.7","niña"
3,"+2 SD","42.0","niña"
4,"+2 SD","43.1","niña"
5,"+2 SD","44.0","niña"
6,"+2 SD","44.8","niña"
7,"+2 SD","45.5","niña"
8,"+2 SD","46.0","niña"
9,"+2 SD","46.5","niña"
10,"+2 SD","46.9","niña"
11,"+2 SD","47.3","niña"
12,"+2 SD","47.6","niña"
13,"+2 SD","47.9","niña"
14,"+2 SD","48.2","niña"
15,"+2 SD","48.4","niña"
16,"+2 SD","48.6","niña"
17,"+2 SD","48.8","niña"
18,"+2 SD","49.0","niña"
19,"+2 SD","49.2","niña"
20,"+2 SD","49.4","niña"
21,"+2 SD","49.5","niña"
22,"+2 SD","49.7","niña"
23,"+2 SD","49.8","niña"
24,"+2 SD","50.0","niña"
25,"+2 SD","50.1","niña"
26,"+2 SD","50.3","niña"
27,"+2 SD","50.4","niña"
28,"+2 SD","50.5","niña"
29,"+2 SD","50.6","niña"
30,"+2 SD","50.7","niña"
31,"+2 SD","50.9","niña"
32,"+2 SD","51.0","niña"
33,"+2 SD","51.1","niña"
34,"+2 SD","51.2","niña"
35,"+2 SD","51.2","niña"
36,"+2 SD","51.3","niña"
37,"+2 SD","51.4","niña"
38,"+2 SD","51.5","niña"
39,"+2 SD","51.6","niña"
40,"+2 SD","51.7","niña"
41,"+2 SD","51.7","niña"
42,"+2 SD","51.8","niña"
43,"+2 SD","51.9","niña"
44,"+2 SD","51.9","niña"
45,"+2 SD","52.0","niña"
46,"+2 SD","52.1","niña"
47,"+2 SD","52.1","niña"
48,"+2 SD","52.2","niña"
49,"+2 SD","52.2","niña"
50,"+2 SD","52.3","niña"
51,"+2 SD","52.3","niña"
52,"+2 SD","52.4","niña"
53,"+2 SD","52.4","niña"
54,"+2 SD","52.5","niña"
55,"+2 SD","52.5","niña"
56,"+2 SD","52.6","niña"
57,"+2 SD","52.6","niña"
58,"+2 SD","52.7","niña"
59,"+2 SD","52.7","niña"
60,"+2 SD","52.8","niña"
0,"+3 SD","37.4","niña"
1,"+3 SD","40.1","niña"
2,"+3 SD","41.9","niña"
3,"+3 SD","43.3","niña"
