Mes,Desviacion,Estatura,sexo
20,+3 SD,92.6,niño
21,+3 SD,93.8,niño
22,+3 SD,94.9,niño
23,+3 SD,95.9,niño
24,+3 SD,97,niño
25,+3 SD,97.3,niño
26,+3 SD,98.3,niño
27,+3 SD,99.3,niño
28,+3 SD,100.3,niño
29,+3 SD,101.2,niño
30,+3 SD,102.1,niño
31,+3 SD,103,niño
32,+3 SD,103.9,niño
33,+3 SD,104.8,niño
34,+3 SD,105.6,niño
35,+3 SD,106.4,niño
36,+3 SD,107.2,niño
37,+3 SD,108,niño
38,+3 SD,108.8,niño
39,+3 SD,109.5,niño
40,+3 SD,110.3,niño
41,+3 SD,111,niño
42,+3 SD,111.7,niño
43,+3 SD,112.5,niño
44,+3 SD,113.2,niño
45,+3 SD,113.9,niño
46,+3 SD,114.6,niño
47,+3 SD,115.2,niño
48,+3 SD,115.9,niño
49,+3 SD,116.6,niño
50,+3 SD,117.3,niño
51,+3 SD,117.9,niño
52,+3 SD,118.6,niño
53,+3 SD,119.2,niño
54,+3 SD,119.9,niño
55,+3 SD,120.6,niño
56,+3 SD,121.2,niño
57,+3 SD,121.9,niño
58,+3 SD,122.6,niño
59,+3 SD,123.2,niño
60,+3 SD,123.9,niño
0,-3 SD,43.6,niña
1,-3 SD,47.8,niña
2,-3 SD,51,niña
3,-3 SD,53.5,niña
4,-3 SD,55.6,niña
5,-3 SD,57.4,niña
6,-3 SD,58.9,niña
7,-3 SD,60.3,niña
8,-3 SD,61.7,niña
9,-3 SD,62.9,niña
10,-3 SD,64.1,niña
11,-3 SD,65.2,niña
12,-3 SD,66.3,niña
13,-3 SD,67.3,niña
14,-3 SD,68.3,niña
15,-3 SD,69.3,niña
16,-3 SD,70.2,niña
17,-3 SD,71.1,niña
18,-3 SD,72,niña
19,-3 SD,72.8,niña
20,-3 SD,73.7,niña
21,-3 SD,74.5,niña
22,-3 SD,75.2,niña
23,-3 SD,76,niña
24,-3 SD,76.7,niña
25,-3 SD,76.8,niña
26,-3 SD,77.5,niña
27,-3 SD,78.1,niña
28,-3 SD,78.8,niña
29,-3 SD,79.5,niña
30,-3 SD,80.1,niña
31,-3 SD,80.7,niña
32,-3 SD,81.3,niña
33,-3 SD,81.9,niña
34,-3 SD,82.5,niña
35,-3 SD,83.1,niña
36,-3 SD,83.6,niña
37,-3 SD,84.2,niña
38,-3 SD,84.7,niña
39,-3 SD,85.3,niña
40,-3 SD,85.8,niña
41,-3 SD,86.3,niña
42,-3 SD,86.8,niña
43,-3 SD,87.4,niña
44,-3 SD,87.9,niña
45,-3 SD,88.4,niña
46,-3 SD,88.9,niña
47,-3 SD,89.3,niña
48,-3 SD,89.8,niña
49,-3 SD,90.3,niña
50,-3 SD,90.7,niña
51,-3 SD,91.2,niña
52,-3 SD,91.7,niña
53,-3 SD,92.1,niña
54,-3 SD,92.6,niña
55,-3 SD,93,niña
56,-3 SD,93.4,niña
57,-3 SD,93.9,niña
58,-3 SD,94.3,niña
59,-3 SD,94.7,niña
60,-3 SD,95.2,niña
0,-2 SD,45.4,niña
1,-2 SD,49.8,niña
2,-2 SD,53,niña
3,-2 SD,55.6,niña
4,-2 SD,57.8,niña
5,-2 SD,59.6,niña
6,-2 SD,61.2,niña
7,-2 SD,62.7,niña
8,-2 SD,64,niña
9,-2 SD,65.3,niña
10,-2 SD,66.5,niña
11,-2 SD,67.7,niña
12,-2 SD,68.9,niña
13,-2 SD,70,niña
14,-2 SD,71,niña
15,-2 SD,72,niña
16,-2 SD,73,niña
17,-2 SD,74,niña
18,-2 SD,74.9,niña
19,-2 SD,75.8,niña
20,-2 SD,76.7,niña
21,-2 SD,77.5,niña
22,-2 SD,78.4,niña
23,-2 SD,79.2,niña
24,-2 SD,80,niña
25,-2 SD,80,niña
26,-2 SD,80.8,niña
27,-2 SD,81.5,niña
28,-2 SD,82.2,niña
29,-2 SD,82.9,niña
30,-2 SD,83.6,niña
31,-2 SD,84.3,niña
32,-2 SD,84.9,niña
33,-2 SD,85.6,niña
34,-2 SD,86.2,niña
35,-2 SD,86.8,niña
36,-2 SD,87.4,niña
37,-2 SD,88,niña
38,-2 SD,88.6,niña
39,-2 SD,89.2,niña
40,-2 SD,89.8,niña
41,-2 SD,90.4,niña
42,-2 SD,90.9,niña
43,-2 SD,91.5,niña
44,-2 SD,92,niña
45,-2 SD,92.5,niña
46,-2 SD,93.1,niña
47,-2 SD,93.6,niña
48,-2 SD,94.1,niña
49,-2 SD,94.6,niña
50,-2 SD,95.1,niña
51,-2 SD,95.6,niña
52,-2 SD,96.1,niña
53,-2 SD,96.6,niña
54,-2 SD,97.1,niña
55,-2 SD,97.6,niña
56,-2 SD,98.1,niña
57,-2 SD,98.5,niña
58,-2 SD,99,niña
59,-2 SD,99.5,niña
60,-2 SD,99.9,niña
0,-1 SD,47.3,niña
1,-1 SD,51.7,niña
2,-1 SD,55,niña
3,-1 SD,57.7,niña
4,-1 SD,59.9,niña
5,-1 SD,61.8,niña
6,-1 SD,63.5,niña
7,-1 SD,65,niña
8,-1 SD,66.4,niña
9,-1 SD,67.7,niña
10,-1 SD,69,niña
11,-1 SD,70.3,niña
12,-1 SD,71.4,niña
13,-1 SD,72.6,niña
14,-1 SD,73.7,niña
15,-1 SD,74.8,niña
16,-1 SD,75.8,niña
17,-1 SD,76.8,niña
18,-1 SD,77.8,niña
19,-1 SD,78.8,niña
20,-1 SD,79.7,niña
21,-1 SD,80.6,niña
22,-1 SD,81.5,niña
23,-1 SD,82.3,niña
24,-1 SD,83.2,niña
25,-1 SD,83.3,niña
26,-1 SD,84.1,niña
27,-1 SD,84.9,niña
28,-1 SD,85.7,niña
29,-1 SD,86.4,niña
30,-1 SD,87.1,niña
31,-1 SD,87.9,niña
32,-1 SD,88.6,niña
33,-1 SD,89.3,niña
34,-1 SD,89.9,niña
35,-1 SD,90.6,niña
36,-1 SD,91.2,niña
37,-1 SD,91.9,niña
38,-1 SD,92.5,niña
39,-1 SD,93.1,niña
40,-1 SD,93.8,niña
41,-1 SD,94.4,niña
42,-1 SD,95,niña
43,-1 SD,95.6,niña
44,-1 SD,96.2,niña
45,-1 SD,96.7,niña
46,-1 SD,97.3,niña
47,-1 SD,97.9,niña
48,-1 SD,98.4,niña
49,-1 SD,99,niña
50,-1 SD,99.5,niña
51,-1 SD,100.1,niña
52,-1 SD,100.6,niña
53,-1 SD,101.1,niña
